Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Sep 28 22:53 2014
***********
Set Up 8253
***********
************
Test Timer 0
************
                1510: OUT - xx1
            32773000: OUT - xx0
            65541000: OUT - xx1
            98309000: OUT - xx0
           131077000: OUT - xx1
************
Test Timer 1
************
           131077510: OUT - x11
           131098000: OUT - x01
           131099000: OUT - x11
           131116000: OUT - x01
           131117000: OUT - x11
           131134000: OUT - x01
           131135000: OUT - x11
*****************
Test Timer 2 Gate
*****************
           138046000: OUT - 101
           138047000: OUT - 111
           138064000: OUT - 101
           138065000: OUT - 111
           138082000: OUT - 101
           138083000: OUT - 111
           138100000: OUT - 101
           138101000: OUT - 111
           138118000: OUT - 101
           138119000: OUT - 111
           138136000: OUT - 101
           138137000: OUT - 111
           138154000: OUT - 101
           138155000: OUT - 111
           138172000: OUT - 101
           138173000: OUT - 111
           138190000: OUT - 101
           138191000: OUT - 111
           138208000: OUT - 101
           138209000: OUT - 111
           138226000: OUT - 101
           138227000: OUT - 111
           138244000: OUT - 101
           138245000: OUT - 111
           138262000: OUT - 101
           138263000: OUT - 111
           138280000: OUT - 101
           138281000: OUT - 111
           138298000: OUT - 101
           138299000: OUT - 111
           138316000: OUT - 101
           138317000: OUT - 111
           138334000: OUT - 101
           138335000: OUT - 111
           138352000: OUT - 101
           138353000: OUT - 111
           138370000: OUT - 101
           138371000: OUT - 111
           138388000: OUT - 101
           138389000: OUT - 111
           138406000: OUT - 101
           138407000: OUT - 111
           138424000: OUT - 101
           138425000: OUT - 111
           138442000: OUT - 101
           138443000: OUT - 111
           138460000: OUT - 101
           138461000: OUT - 111
           138465000: OUT - 011
           138478000: OUT - 001
           138479000: OUT - 011
           138496000: OUT - 001
           138497000: OUT - 011
           138514000: OUT - 001
           138515000: OUT - 011
           138532000: OUT - 001
           138533000: OUT - 011
           138550000: OUT - 001
           138551000: OUT - 011
           138568000: OUT - 001
           138569000: OUT - 011
           138586000: OUT - 001
           138587000: OUT - 011
           138604000: OUT - 001
           138605000: OUT - 011
           138622000: OUT - 001
           138623000: OUT - 011
           138640000: OUT - 001
           138641000: OUT - 011
           138658000: OUT - 001
           138659000: OUT - 011
           138676000: OUT - 001
           138677000: OUT - 011
           138694000: OUT - 001
           138695000: OUT - 011
           138712000: OUT - 001
           138713000: OUT - 011
           138730000: OUT - 001
           138731000: OUT - 011
           138748000: OUT - 001
           138749000: OUT - 011
           138766000: OUT - 001
           138767000: OUT - 011
           138784000: OUT - 001
           138785000: OUT - 011
           138802000: OUT - 001
           138803000: OUT - 011
           138820000: OUT - 001
           138821000: OUT - 011
           138838000: OUT - 001
           138839000: OUT - 011
           138856000: OUT - 001
           138857000: OUT - 011
           138874000: OUT - 001
           138875000: OUT - 011
           138892000: OUT - 001
           138893000: OUT - 011
           138910000: OUT - 001
           138911000: OUT - 011
           138928000: OUT - 001
           138929000: OUT - 011
           138946000: OUT - 001
           138947000: OUT - 011
           138964000: OUT - 001
           138965000: OUT - 011
           138982000: OUT - 001
           138983000: OUT - 011
           139000000: OUT - 001
           139001000: OUT - 011
           139018000: OUT - 001
           139019000: OUT - 011
           139036000: OUT - 001
           139037000: OUT - 011
           139054000: OUT - 001
           139055000: OUT - 011
           139072000: OUT - 001
           139073000: OUT - 011
           139090000: OUT - 001
           139091000: OUT - 011
           139108000: OUT - 001
           139109000: OUT - 011
           139126000: OUT - 001
           139127000: OUT - 011
           139130000: OUT - 111
***************
Test Timer Test
***************
           139130510: OUT - 110
           139144000: OUT - 100
           139145000: OUT - 110
           139155000: OUT - 111
           139162000: OUT - 101
           139163000: OUT - 111
           139180000: OUT - 101
           139181000: OUT - 111
           139198000: OUT - 101
           139199000: OUT - 111
           139205510: OUT - 110
read: 00110000
read: 00110000
Count wrong: 3030
8253 TEST FAILURE WITH           1 ERRORS
$finish called from file "test_8253.v", line 386.
$finish at simulation time            139209500
           V C S   S i m u l a t i o n   R e p o r t 
Time: 139209500
CPU Time:      0.390 seconds;       Data structure size:   0.0Mb
Sun Sep 28 22:53:17 2014
